poll_time,scheduled,expected,state,destination,journey_state,journey_id
2026-09-24T05:46:24+02:00,2026-09-24T06:09:57,2026-09-24T06:09:57,EXPECTED,Sergels torg,EXPECTED,2026092400001
2026-09-24T05:46:24+02:00,2026-09-24T06:24:57,2026-09-24T06:24:57,EXPECTED,Sergels torg,EXPECTED,2026092400002
2026-09-24T05:46:24+02:00,2026-09-24T06:37:57,2026-09-24T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026092400003
2026-09-24T05:54:43+02:00,2026-09-24T06:09:57,2026-09-24T06:09:57,EXPECTED,Sergels torg,EXPECTED,2026092400001
2026-09-24T05:54:43+02:00,2026-09-24T06:24:57,2026-09-24T06:24:57,EXPECTED,Sergels torg,EXPECTED,2026092400002
2026-09-24T05:54:43+02:00,2026-09-24T06:37:57,2026-09-24T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026092400003
2026-09-24T06:00:24+02:00,2026-09-24T06:09:57,2026-09-24T06:09:57,EXPECTED,Sergels torg,NORMALPROGRESS,2026092400001
2026-09-24T06:00:24+02:00,2026-09-24T06:24:57,2026-09-24T06:24:57,EXPECTED,Sergels torg,EXPECTED,2026092400002
2026-09-24T06:00:24+02:00,2026-09-24T06:37:57,2026-09-24T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026092400003
2026-09-24T06:12:09+02:00,2026-09-24T06:09:57,2026-09-24T06:11:35,EXPECTED,Sergels torg,NORMALPROGRESS,2026092400001
2026-09-24T06:12:09+02:00,2026-09-24T06:24:57,2026-09-24T06:24:57,EXPECTED,Sergels torg,EXPECTED,2026092400002
2026-09-24T06:12:09+02:00,2026-09-24T06:37:57,2026-09-24T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026092400003
2026-09-24T06:12:40+02:00,2026-09-24T06:09:57,2026-09-24T06:11:35,ATSTOP,Sergels torg,NORMALPROGRESS,2026092400001
2026-09-24T06:12:40+02:00,2026-09-24T06:24:57,2026-09-24T06:24:57,EXPECTED,Sergels torg,EXPECTED,2026092400002
2026-09-24T06:12:40+02:00,2026-09-24T06:37:57,2026-09-24T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026092400003
2026-09-24T06:13:11+02:00,2026-09-24T06:24:57,2026-09-24T06:24:57,EXPECTED,Sergels torg,EXPECTED,2026092400002
2026-09-24T06:13:11+02:00,2026-09-24T06:37:57,2026-09-24T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026092400003
