poll_time,scheduled,expected,state,destination,journey_state,journey_id
2026-09-18T05:52:26+02:00,2026-09-18T06:09:57,2026-09-18T06:09:57,EXPECTED,Sergels torg,EXPECTED,2026091800001
2026-09-18T05:52:26+02:00,2026-09-18T06:24:57,2026-09-18T06:24:57,EXPECTED,Sergels torg,EXPECTED,2026091800002
2026-09-18T05:52:26+02:00,2026-09-18T06:37:57,2026-09-18T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026091800003
2026-09-18T05:58:15+02:00,2026-09-18T06:09:57,2026-09-18T06:09:57,EXPECTED,Sergels torg,NORMALPROGRESS,2026091800001
2026-09-18T05:58:15+02:00,2026-09-18T06:24:57,2026-09-18T06:24:57,EXPECTED,Sergels torg,EXPECTED,2026091800002
2026-09-18T05:58:15+02:00,2026-09-18T06:37:57,2026-09-18T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026091800003
2026-09-18T06:07:49+02:00,2026-09-18T06:09:57,2026-09-18T06:12:16,EXPECTED,Sergels torg,NORMALPROGRESS,2026091800001
2026-09-18T06:07:49+02:00,2026-09-18T06:24:57,2026-09-18T06:24:57,EXPECTED,Sergels torg,EXPECTED,2026091800002
2026-09-18T06:07:49+02:00,2026-09-18T06:37:57,2026-09-18T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026091800003
2026-09-18T06:08:19+02:00,_HEARTBEAT_,,,,,
2026-09-18T06:08:50+02:00,2026-09-18T06:09:57,2026-09-18T06:12:16,EXPECTED,Sergels torg,NORMALPROGRESS,2026091800001
2026-09-18T06:08:50+02:00,2026-09-18T06:24:57,2026-09-18T06:24:57,EXPECTED,Sergels torg,EXPECTED,2026091800002
2026-09-18T06:08:50+02:00,2026-09-18T06:37:57,2026-09-18T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026091800003
2026-09-18T06:09:21+02:00,2026-09-18T06:09:57,2026-09-18T06:12:16,EXPECTED,Sergels torg,NORMALPROGRESS,2026091800001
2026-09-18T06:09:21+02:00,2026-09-18T06:24:57,2026-09-18T06:24:57,EXPECTED,Sergels torg,ATORIGIN,2026091800002
2026-09-18T06:09:21+02:00,2026-09-18T06:37:57,2026-09-18T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026091800003
2026-09-18T06:09:52+02:00,2026-09-18T06:09:57,2026-09-18T06:12:16,EXPECTED,Sergels torg,NORMALPROGRESS,2026091800001
2026-09-18T06:09:52+02:00,2026-09-18T06:24:57,2026-09-18T06:24:57,EXPECTED,Sergels torg,ATORIGIN,2026091800002
2026-09-18T06:09:52+02:00,2026-09-18T06:37:57,2026-09-18T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026091800003
2026-09-18T06:10:22+02:00,2026-09-18T06:09:57,2026-09-18T06:12:58,EXPECTED,Sergels torg,NORMALPROGRESS,2026091800001
2026-09-18T06:10:22+02:00,2026-09-18T06:24:57,2026-09-18T06:24:57,EXPECTED,Sergels torg,NORMALPROGRESS,2026091800002
2026-09-18T06:10:22+02:00,2026-09-18T06:37:57,2026-09-18T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026091800003
2026-09-18T06:10:53+02:00,2026-09-18T06:09:57,2026-09-18T06:12:58,EXPECTED,Sergels torg,NORMALPROGRESS,2026091800001
2026-09-18T06:10:53+02:00,2026-09-18T06:24:57,2026-09-18T06:24:57,EXPECTED,Sergels torg,NORMALPROGRESS,2026091800002
2026-09-18T06:10:53+02:00,2026-09-18T06:37:57,2026-09-18T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026091800003
2026-09-18T06:11:24+02:00,2026-09-18T06:09:57,2026-09-18T06:12:58,EXPECTED,Sergels torg,NORMALPROGRESS,2026091800001
2026-09-18T06:11:24+02:00,2026-09-18T06:24:57,2026-09-18T06:24:57,EXPECTED,Sergels torg,NORMALPROGRESS,2026091800002
2026-09-18T06:11:24+02:00,2026-09-18T06:37:57,2026-09-18T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026091800003
2026-09-18T06:11:54+02:00,2026-09-18T06:09:57,2026-09-18T06:12:58,EXPECTED,Sergels torg,NORMALPROGRESS,2026091800001
2026-09-18T06:11:54+02:00,2026-09-18T06:24:57,2026-09-18T06:24:57,EXPECTED,Sergels torg,NORMALPROGRESS,2026091800002
2026-09-18T06:11:54+02:00,2026-09-18T06:37:57,2026-09-18T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026091800003
2026-09-18T06:12:25+02:00,2026-09-18T06:09:57,2026-09-18T06:12:38,EXPECTED,Sergels torg,NORMALPROGRESS,2026091800001
2026-09-18T06:12:25+02:00,2026-09-18T06:24:57,2026-09-18T06:24:57,EXPECTED,Sergels torg,NORMALPROGRESS,2026091800002
2026-09-18T06:12:25+02:00,2026-09-18T06:37:57,2026-09-18T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026091800003
2026-09-18T06:12:56+02:00,2026-09-18T06:09:57,2026-09-18T06:12:38,EXPECTED,Sergels torg,NORMALPROGRESS,2026091800001
2026-09-18T06:12:56+02:00,2026-09-18T06:24:57,2026-09-18T06:24:57,EXPECTED,Sergels torg,NORMALPROGRESS,2026091800002
2026-09-18T06:12:56+02:00,2026-09-18T06:37:57,2026-09-18T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026091800003
2026-09-18T06:21:11+02:00,_HEARTBEAT_,,,,,
