poll_time,scheduled,expected,state,destination,journey_state,journey_id
2026-09-09T15:51:34+02:00,2026-09-09T16:00:00,2026-09-09T16:00:00,EXPECTED,Häggvik (Mossvägen),EXPECTED,2026090900020
2026-09-09T15:51:34+02:00,2026-09-09T16:15:00,2026-09-09T16:15:00,EXPECTED,Häggvik (Mossvägen),EXPECTED,2026090900021
2026-09-09T15:51:34+02:00,2026-09-09T16:25:00,2026-09-09T16:25:00,EXPECTED,Häggvik (Mossvägen),EXPECTED,2026090900022
2026-09-09T16:06:51+02:00,2026-09-09T16:15:00,2026-09-09T16:15:00,EXPECTED,Häggvik (Mossvägen),EXPECTED,2026090900021
2026-09-09T16:06:51+02:00,2026-09-09T16:25:00,2026-09-09T16:25:00,EXPECTED,Häggvik (Mossvägen),EXPECTED,2026090900022
2026-09-09T16:06:51+02:00,2026-09-09T16:35:00,2026-09-09T16:35:00,EXPECTED,Häggvik (Mossvägen),EXPECTED,2026090900023
2026-09-09T16:26:35+02:00,2026-09-09T16:25:00,2026-09-09T16:25:00,EXPECTED,Häggvik (Mossvägen),EXPECTED,2026090900022
2026-09-09T16:26:35+02:00,2026-09-09T16:35:00,2026-09-09T16:35:00,EXPECTED,Häggvik (Mossvägen),EXPECTED,2026090900023
2026-09-09T16:26:35+02:00,2026-09-09T16:45:00,2026-09-09T16:45:00,EXPECTED,Häggvik (Mossvägen),EXPECTED,2026090900024
2026-09-09T16:46:35+02:00,2026-09-09T16:45:00,2026-09-09T16:45:00,CANCELLED,Häggvik (Mossvägen),EXPECTED,2026090900024
2026-09-09T16:46:35+02:00,2026-09-09T16:55:00,2026-09-09T16:55:00,CANCELLED,Häggvik (Mossvägen),EXPECTED,2026090900025
2026-09-09T16:46:35+02:00,2026-09-09T17:05:00,2026-09-09T17:05:00,CANCELLED,Häggvik (Mossvägen),EXPECTED,2026090900026
2026-09-09T16:59:22+02:00,2026-09-09T16:55:00,2026-09-09T16:55:00,CANCELLED,Häggvik (Mossvägen),ASSIGNED,2026090900025
2026-09-09T16:59:22+02:00,2026-09-09T17:05:00,2026-09-09T17:05:00,CANCELLED,Häggvik (Mossvägen),EXPECTED,2026090900026
2026-09-09T16:59:22+02:00,2026-09-09T17:15:00,2026-09-09T17:15:00,CANCELLED,Häggvik (Mossvägen),EXPECTED,2026090900027
2026-09-09T17:19:56+02:00,2026-09-09T17:15:00,2026-09-09T17:15:00,CANCELLED,Häggvik (Mossvägen),EXPECTED,2026090900027
2026-09-09T17:19:56+02:00,2026-09-09T17:30:00,2026-09-09T17:30:00,CANCELLED,Häggvik (Mossvägen),EXPECTED,2026090900028
2026-09-09T17:19:56+02:00,2026-09-09T17:45:00,2026-09-09T17:45:00,CANCELLED,Häggvik (Mossvägen),EXPECTED,2026090900029
2026-09-09T17:38:41+02:00,2026-09-09T17:45:00,2026-09-09T17:45:00,CANCELLED,Häggvik (Mossvägen),EXPECTED,2026090900029
2026-09-09T17:38:41+02:00,2026-09-09T18:00:00,2026-09-09T18:00:00,CANCELLED,Häggvik (Mossvägen),EXPECTED,2026090900030
2026-09-09T17:38:41+02:00,2026-09-09T18:15:00,2026-09-09T18:15:00,CANCELLED,Häggvik (Mossvägen),EXPECTED,2026090900031
2026-09-09T17:53:12+02:00,2026-09-09T18:00:00,2026-09-09T18:00:00,CANCELLED,Häggvik (Mossvägen),EXPECTED,2026090900030
2026-09-09T17:53:12+02:00,2026-09-09T18:15:00,2026-09-09T18:15:00,CANCELLED,Häggvik (Mossvägen),EXPECTED,2026090900031
2026-09-09T17:53:12+02:00,2026-09-09T18:30:00,2026-09-09T18:30:00,CANCELLED,Häggvik (Mossvägen),EXPECTED,2026090900032
2026-09-09T18:10:51+02:00,2026-09-09T18:15:00,2026-09-09T18:15:00,CANCELLED,Häggvik (Mossvägen),EXPECTED,2026090900031
2026-09-09T18:10:51+02:00,2026-09-09T18:30:00,2026-09-09T18:30:00,CANCELLED,Häggvik (Mossvägen),EXPECTED,2026090900032
